,title,company,location,salary,summary
344,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
345,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
346,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
347,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
348,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
349,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
350,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
351,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
352,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
353,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
354,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
355,Data Scientist,Phyla,"Montréal, QC•Remote","$70,000 - $80,000 a year",Experience in development and implementation of experimental and analytical strategies to address a variety of business problems with advanced data science…
356,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
357,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
358,Marketing Data Analyst,ATS Automation,"Cambridge, ON•Temporarily Remote",,"Bachelor’s degree in marketing, statistics, or data science.Experience with data visualization tools (Tableau preferred).Experience with various survey tools."
359,"Manager, Fraud Data Scienc",RBC,"Toronto, ON•Temporarily Remote",,"3+ years of data science or analytics experience.Strong knowledge of Big Data platforms, architecture and data tools such as Hadoop and Spark."
360,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
361,Data Scientist,Government of Saskatchewan,"Regina, SK","$6,911 - $8,986 a month","Typically, the knowledge and abilities required for this position would be obtained through the completion of a degree in social science, statistics or data…"
362,"Director, Data Scienc",Webware.io,"Toronto, ON•Temporarily Remote","$140,000 - $150,000 a year",5-7 years data science experience data science manipulating data sets and building statistical models and creating reports.Temporarily due to COVID-19.
363,Computer Vision Scientist,Nexera Robotics Corp,"North Vancouver, BC","$65,000 - $130,000 a year",Analyze data based on test results to provide optimizations for the test.Determine suitable data collection methods to optimize for possible AI algorithms and…
364,Senior Data Analyst,TELUS Communications,Ontario•Temporarily Remote,$80 an hour,Strong analytical skills to pull insights from quantitative and qualitative data sets.Comfortable with manipulating data BI tools.
365,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
366,NLP Scientist,Alexsei,"Toronto, ON•Remote","$110,000 - $150,000 a year","We've developed a state-of-the-art, cloud-native, fully-scalable, experimental infrastructure that allows for rapid iterative experimentation, both model…"
367,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
368,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
369,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
370,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
371,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
